Cavity #96       
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	8.8371e9 	6989.3            	551980.	1   	0.                
   lr(2) =       	7.6263e9 	989.73            	3.062e6	1   	0.                
   lr(3) =       	2.5477e9 	77479.            	9504.2 	1   	0.                
   lr(4) =       	8.8418e9 	7056.400000000001 	138980.	1   	0.                
   lr(5) =       	1.7345e9 	42280.            	1759.8 	1   	0.                
   lr(6) =       	1.8686e9 	42375.99999999999 	1857.1 	1   	0.                
   lr(7) =       	1.7033e9 	47797.            	1419.5 	1   	0.                
   lr(8) =       	1.8693e9 	39971.            	1090.6 	1   	0.                
   lr(9) =       	1.8549e9 	23349.000000000004	1629.7 	1   	0.                
   lr(10) =      	1.8699e9 	47124.            	403.8  	1   	0.                
/                
